DateType,Date,Value
Month,2014-03,2
Month,2014-04,1
Month,2014-05,4
Month,2014-07,2
Month,2014-08,2
Month,2014-09,11
Month,2014-10,14
Month,2014-11,26
Month,2014-12,29
Month,2015-01,58
Month,2015-02,34
Month,2015-03,138
Month,2015-04,174
Month,2015-05,174
Month,2015-06,215
Month,2015-07,158
Month,2015-08,39
Month,2015-09,85
Month,2015-10,107
Month,2015-11,96
Month,2015-12,168
Month,2016-01,52
Month,2016-02,14
Month,2016-03,68
Month,2016-04,166
Month,2016-05,212
Month,2016-06,116
Month,2016-07,66
Month,2016-08,73
Month,2016-09,71
Month,2016-10,113
Month,2016-11,129
Month,2016-12,50
Month,2017-01,37
Month,2017-02,18
Month,2017-03,41
Month,2017-04,80
Month,2017-05,131
Month,2017-06,71
Month,2017-07,31
Month,2017-08,19
Month,2017-09,46
Month,2017-10,38
Month,2017-11,37
Month,2017-12,17
Month,2018-01,5
Month,2018-02,9
Month,2018-03,47
Month,2018-04,105
Month,2018-05,90
Month,2018-06,109
Month,2018-07,105
Month,2018-08,61
Month,2018-09,81
Month,2018-10,76
Month,2018-11,49
Month,2018-12,29
Month,2019-01,7
Month,2019-02,9
Month,2019-03,16
Month,2019-04,23
Month,2019-05,40
Month,2019-06,46
Month,2019-07,31
Month,2019-08,32
Month,2019-09,28
Month,2019-10,37
Month,2019-11,29
Month,2019-12,15
Month,2020-02,10
Month,2020-03,9
Month,2020-04,10
Month,2020-05,15
Month,2020-06,20
Month,2020-07,12
Month,2020-08,9
Month,2020-09,18
Month,2020-10,23
Month,2020-11,28
Month,2020-12,9
Month,2021-01,6
Month,2021-02,8
Month,2021-03,11
Month,2021-04,20
Month,2021-05,22
Month,2021-06,16
Month,2021-07,24
Month,2021-08,10
Month,2021-09,13
Month,2021-10,18
Month,2021-11,23
Month,2021-12,19
Month,2022-01,6
Month,2022-02,6
Month,2022-03,14
Month,2022-04,24
Month,2022-05,30
Month,2022-06,16
Month,2022-07,21
Month,2022-08,18
Month,2022-09,21
Month,2022-10,20
Month,2022-11,32
Month,2022-12,16
Month,2023-01,13
Month,2023-02,11
Month,2023-03,17
Month,2023-04,33
Month,2023-05,39
Month,2023-06,35
Month,2023-07,24
Month,2023-08,22
Month,2023-09,21
Month,2023-10,27
Month,2023-11,50
Month,2023-12,51
Month,2024-01,14
Month,2024-02,17
Month,2024-03,34
Month,2024-04,34
Month,2024-05,54
Month,2024-06,37
Month,2024-07,28
Month,2024-08,31
Month,2024-09,37
Month,2024-10,34
Month,2024-11,45
Month,2024-12,36
Month,2025-01,25
Month,2025-02,21
Month,2025-03,36
Month,2025-04,64
Month,2025-05,39
Month,2025-06,10
Month,2025-07,3
Quarter,2014-Q1,2
Quarter,2014-Q2,5
Quarter,2014-Q3,15
Quarter,2014-Q4,69
Quarter,2015-Q1,230
Quarter,2015-Q2,563
Quarter,2015-Q3,282
Quarter,2015-Q4,371
Quarter,2016-Q1,134
Quarter,2016-Q2,494
Quarter,2016-Q3,210
Quarter,2016-Q4,292
Quarter,2017-Q1,96
Quarter,2017-Q2,282
Quarter,2017-Q3,96
Quarter,2017-Q4,92
Quarter,2018-Q1,61
Quarter,2018-Q2,304
Quarter,2018-Q3,247
Quarter,2018-Q4,154
Quarter,2019-Q1,32
Quarter,2019-Q2,109
Quarter,2019-Q3,91
Quarter,2019-Q4,81
Quarter,2020-Q1,19
Quarter,2020-Q2,45
Quarter,2020-Q3,39
Quarter,2020-Q4,60
Quarter,2021-Q1,25
Quarter,2021-Q2,58
Quarter,2021-Q3,47
Quarter,2021-Q4,60
Quarter,2022-Q1,26
Quarter,2022-Q2,70
Quarter,2022-Q3,60
Quarter,2022-Q4,68
Quarter,2023-Q1,41
Quarter,2023-Q2,107
Quarter,2023-Q3,67
Quarter,2023-Q4,128
Quarter,2024-Q1,65
Quarter,2024-Q2,125
Quarter,2024-Q3,96
Quarter,2024-Q4,115
Quarter,2025-Q1,82
Quarter,2025-Q2,113
Quarter,2025-Q3,3
Year,2014,91
Year,2015,1446
Year,2016,1130
Year,2017,566
Year,2018,766
Year,2019,313
Year,2020,163
Year,2021,190
Year,2022,224
Year,2023,343
Year,2024,401
Year,2025,198
